rank,feature,leaky_importance,corrected_importance,inflation_ratio
60,etdo4590,0.00870110867259793,0.011358770246099055,0.766025589397422
61,parcomp,0.008668745707404965,0.011273719737114173,0.7689339374711097
62,ncontig,0.008623901572591824,0.0067610318589040146,1.2755303853855509
63,inst3,0.008458815121387377,0.008822678508702346,0.9587581722539171
64,part,0.008380520230213014,0.00776247265233646,1.079619936269988
65,incumb,0.008310375575901485,0.007171745313648317,1.1587661318767521
66,geo57,0.008263567044815186,0.00907565079433961,0.9105206042049444
67,decade3,0.008258559698106105,0.008166487597909406,1.0112743819289298
68,ager,0.00812726529520483,0.012446179757294425,0.6529927619309549
69,inst,0.00807264216678223,0.0068852037631152805,1.1724623474512366
70,nmgdp,0.007932156855294135,0.0069912670351177635,1.1345807298519992
71,auto4,0.007884856318105078,0.015707244101255867,0.5019885262669755
72,sxpsq,0.007716571021432873,0.004637820917161183,1.6638354863766922
73,sip2,0.007680806858025376,0.011239577744213435,0.6833714782550215
74,mirps1,0.007654640808245512,0.009447392326830705,0.810238480993982
75,army85,0.007379813246103379,0.008156708973098921,0.9047537763627747
76,numlang,0.007348684919871603,0.005653171225290509,1.2999225792057916
77,nat_war,0.007273116538313598,0.009560457247543848,0.7607498626890586
78,decade4,0.0070328351295572845,0.016503068305203594,0.42615318554669956
79,oil,0.006508514416044622,0.009914862609986898,0.6564402021555822
80,p4mchg,0.006464578135430519,0.010704218493276131,0.6039280812038031
81,anoc,0.006361012079827278,0.005254410088574414,1.2106044204009014
82,mirps2,0.006314172539033722,0.008273808903368051,0.7631518461181026
83,warhist,0.006276919509603787,0.0057081795242742185,1.0996359667580502
84,durable,0.006065515029341099,0.009740861828020468,0.6226877186465265
85,proxregc,0.005492156097319211,0.006336193123674056,0.8667911457431353
86,drel,0.005475400055319953,0.00646888732342851,0.8464206874479908
87,semipol3,0.00545609498462798,0.008856660442081481,0.6160442776719681
88,coldwar,0.005142092273139162,0.006481791569930893,0.7933134254105592
89,polcomp,0.004886145397124457,0.01189255478815298,0.41085750573895985
90,geo69,0.004837337665298417,0.0074071200266924596,0.6530659214197261
